,xG,PrgPasses,Gls/90,xG/90,Shots,Sh/90,SoT/90,Dist,PrgDist,FinalThirdPass,PenaltyAreaCross,SCA90,Tkl Def 3rd,Tkl Mid 3rd,Clearances,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,short_Pass_Ratio,medium_Pass_Ratio,long_Pass_Ratio,clusters,Player_Name,Pos
302,7.5,76,0.5,0.47,51,3.17,1.49,15.9,1710,53,2,2.61,15,18,9,11,95,418,335,69,0.6069565217391304,0.2991304347826087,0.093913043,4,Fermin López,MF
307,3.3,16,0.35,0.38,23,2.68,1.05,13.3,383,12,0,2.22,2,5,12,15,27,126,91,22,0.5495495495495496,0.38738738738738737,0.063063063,4,Anthony Lozano,FW
284,3.6,16,0.12,0.21,44,2.55,0.87,12.7,380,13,0,1.91,0,6,21,21,32,255,295,104,0.6450617283950617,0.2993827160493827,0.055555556,4,Juanmi Latasa,FW
310,5.6,17,0.6,0.48,26,2.23,1.03,13.3,530,10,1,2.06,1,4,4,10,47,144,153,44,0.5634517766497462,0.350253807,0.086294416,4,José Luis Morales,FW
311,5.6,26,0.4,0.45,42,3.36,1.36,14.4,574,8,4,3.84,2,2,5,8,36,193,298,67,0.5527156549520766,0.3194888178913738,0.12779552715654952,4,Dodi Lukebakio,FW
283,9,13,0.15,0.45,69,3.41,1.23,12.7,410,8,0,1.29,6,4,17,26,51,209,297,111,0.610655738,0.3237704918032787,0.06557377,4,Cyle Larin,FW
313,1.4,15,0.46,0.16,20,2.29,1.03,24.2,1011,12,6,2.4,7,9,2,6,53,162,182,16,0.38257575757575757,0.39015151515151514,0.22727272727272727,4,Darwin Machís,MF
281,1,17,0.39,0.19,9,1.75,0.78,14.2,451,11,2,3.89,4,10,5,2,34,101,138,26,0.6296296296296297,0.3333333333333333,0.037037037037037035,4,Érik Lamela,FW
279,2.5,93,0.05,0.11,24,1.1,0.37,16.4,2176,58,0,1.98,12,22,17,21,141,465,381,63,0.6547619047619048,0.30505952380952384,0.040178571,4,Luca de la Torre,MF
278,3.5,89,0.29,0.15,46,1.93,0.88,17.5,2892,38,5,4.61,15,6,8,11,94,404,683,122,0.5291878172588832,0.3236040609137056,0.14720812182741116,4,Takefusa Kubo,FW
272,7.7,32,0.19,0.49,56,3.54,1.45,13.1,589,15,2,2.53,2,3,12,18,51,199,280,108,0.5632183908045977,0.36398467432950193,0.072796935,4,Kiké,FW
325,1.8,6,0.33,0.6,6,1.96,0.65,11.4,112,3,0,2.62,0,1,5,6,15,31,56,15,0.625,0.3333333333333333,0.041666666666666664,4,Alberto Marí,FW
